740	984	796	4095	674	1107	629	5	6:51:15 p. m.
792	998	778	4095	492	820	817	6	6:51:18 p. m.
775	1003	788	4095	585	839	962	6	6:51:19 p. m.
760	986	739	4095	473	950	1473	7	6:51:30 p. m.
716	1006	867	4095	4095	4095	1643	10	6:51:31 p. m.
731	995	787	4095	748	966	806	7	6:51:34 p. m.
770	1000	882	4095	555	1062	376	3	6:51:36 p. m.
851	987	899	4095	1319	1904	259	4	6:51:44 p. m.
849	1011	871	4095	705	1570	706	5	6:51:44 p. m.
953	985	925	4095	303	2469	150	3	6:51:52 p. m.
809	1009	837	4095	831	2265	1964	10	6:51:53 p. m.
763	992	770	4095	420	777	936	5	6:51:57 p. m.
789	1007	830	4095	603	1116	644	4	6:51:58 p. m.
746	985	807	4095	532	1014	216	3	6:52:20 p. m.
731	1007	810	4095	686	864	683	5	6:52:20 p. m.
740	993	795	4095	464	977	515	4	6:52:24 p. m.
881	975	989	4095	810	4095	116	3	6:52:46 p. m.
791	989	742	4095	416	679	2043	11	6:52:58 p. m.
808	1009	800	4095	534	993	1313	7	6:52:58 p. m.
776	1006	817	4095	580	955	780	5	6:52:59 p. m.
730	1009	824	4095	1142	1144	631	5	6:53:00 p. m.
781	984	825	4095	628	1189	723	4	6:53:16 p. m.
726	986	791	4095	677	1109	776	6	6:53:21 p. m.
768	991	877	4095	670	1087	282	5	6:53:25 p. m.
724	984	756	4095	616	1020	1045	7	6:53:55 p. m.
856	987	894	4095	598	2683	1022	5	6:54:00 p. m.
878	1001	886	4095	425	1912	823	6	6:54:02 p. m.
713	991	918	4095	1366	1026	155	2	6:54:07 p. m.
732	997	709	4095	603	918	3061	15	6:54:09 p. m.
758	984	764	4095	536	677	1469	7	6:54:25 p. m.
722	992	798	4095	873	1250	720	5	6:54:29 p. m.
808	991	751	4095	405	973	1930	11	6:54:34 p. m.
803	1008	801	4095	609	1574	1709	9	6:54:34 p. m.
802	988	801	4095	463	1312	1658	9	6:54:39 p. m.
911	991	961	4095	586	270	617	4	6:54:44 p. m.
699	982	796	4095	858	768	458	3	6:55:03 p. m.
602	1006	705	4095	1592	4095	271	5	6:55:04 p. m.
789	985	779	4095	508	1140	1320	7	6:55:23 p. m.
807	989	957	4095	532	3080	144	4	6:55:31 p. m.
825	995	941	4095	922	1568	519	4	6:55:35 p. m.
692	984	793	4095	839	736	479	5	6:55:51 p. m.
775	986	768	4095	722	1179	2116	12	6:55:57 p. m.
765	1008	831	4095	779	1028	1090	7	6:55:57 p. m.
690	984	751	4095	2646	902	4095	23	6:56:06 p. m.
975	971	1014	4095	329	1997	289	1	6:56:06 p. m.
783	983	841	4095	535	1231	461	4	6:56:14 p. m.
762	997	823	4095	664	1356	363	3	6:56:17 p. m.
857	982	823	4095	490	361	2448	12	6:56:25 p. m.
827	998	824	4095	482	1354	736	5	6:56:28 p. m.
727	982	770	4095	663	885	935	5	6:56:42 p. m.
818	1003	763	4095	560	2100	3022	15	6:56:43 p. m.
707	985	801	4095	718	797	473	3	6:56:54 p. m.
782	984	753	4095	385	952	1143	7	6:57:11 p. m.
827	1004	920	4095	462	1714	343	1	6:57:12 p. m.
785	1002	793	4095	467	798	719	4	6:57:14 p. m.
804	997	853	4095	706	959	507	5	6:57:17 p. m.
752	984	937	4095	4095	2788	224	3	6:57:30 p. m.
842	994	863	4095	357	1265	634	5	6:57:34 p. m.
850	1009	743	4095	391	786	3199	17	6:57:34 p. m.
825	983	835	4095	675	2392	1361	8	6:57:50 p. m.
721	983	718	4095	833	977	2465	13	6:58:05 p. m.
698	983	809	4095	875	777	421	3	6:58:22 p. m.
771	989	777	4095	988	159	1777	9	6:58:26 p. m.
847	984	950	4095	531	181	270	2	6:58:33 p. m.
760	990	884	4095	1089	1462	426	4	6:58:38 p. m.
762	984	766	4095	497	934	1273	7	6:58:45 p. m.
853	992	928	4095	510	1507	254	4	6:58:50 p. m.
818	993	900	4095	2339	4095	599	4	6:58:55 p. m.
680	983	731	4095	1101	885	2568	13	6:59:01 p. m.
766	991	733	4095	456	1099	3496	19	6:59:05 p. m.
763	997	1000	4095	1983	409	198	3	6:59:07 p. m.
720	991	859	4095	1060	1388	395	5	6:59:11 p. m.
793	985	776	4095	655	1297	870	6	6:59:21 p. m.
995	934	933	4095	4095	4095	2074	15	6:59:26 p. m.
768	984	846	4095	442	1280	443	4	6:59:35 p. m.
739	983	773	4095	708	837	1210	7	6:59:43 p. m.
841	1009	798	4095	477	942	1762	9	6:59:43 p. m.
812	995	809	4095	447	925	1145	8	6:59:46 p. m.
781	987	878	4095	553	2607	469	5	7:00:07 p. m.
812	998	805	4095	493	1112	1066	7	7:00:10 p. m.
635	1010	666	4095	737	315	611	4	7:00:10 p. m.
